"","artists","sdRatioScore","hit"
"1","norman greenbaum",322.616970727562,"Spirit in the Sky"
"2","blue swede",287.688926895043,"Hooked on a Feeling"
"3","clint holmes",273.457404551195,"Playground In My Mind"
"4","positive k",254.522243527418,"I Got a Man"
"5","michael sembello",207.144972431659,"Maniac"
"6","wadsworth mansion",189.348245014014,"Sweet Mary"
"7","boy meets girl",188.6067392699,"Waiting for a Star to Fall"
"8","partners in kryme",186.543687598045,"Turtle Power"
"9","deep blue something",178.769195694083,"Breakfast at Tiffany's"
"10","wild cherry",171.650810670192,"Play That Funky Music"
"11","jeanne black",170.015759430821,"He'll Have to Stay"
"12","the hues corporation",166.031606335145,"Rock the Boat"
"13","scott mckenzie",147.516950299966,"San Francisco (Be Sure to Wear Flowers in Your Hair)"
"14","jud strunk",146.980951352721,"Daisy a Day"
"15","white town",146.841739787097,"Your Woman"
"16","peter mccann",144.349497735475,"Do You Wanna Make Love"
"17","mark dinning",130.768868251253,"Teen Angel"
"18","vicki lawrence",127.971043613003,"The Night The Lights Went Out In Georgia"
"19","the o kaysions",126.390725480894,"Girl Watcher"
"20","starland vocal band",124.9343029752,"Afternoon Delight"
"21","carl douglas",123.777174987264,"Kung Fu Fighting"
"22","the ran-dells",122.659573103927,"Martian Hop"
"23","ram jam",118.543868584744,"Black Betty"
"24","the rivieras",117.026240936324,"California Sun"
"25","les cooper and the soul rockers",116.586932460344,"Wiggle Wobble"
"26","thunderclap newman",116.373514740402,"Something In The Air"
"27","oran juice jones",109.47640879852,"The Rain"
"28","debby boone",108.180590604687,"You Light up My Life"
"29","cyndi grecco",100.272912361343,"Making Our Dreams Come True"
"30","down a.k.a. kilo",98.0417187055354,"Lean Like A Cholo"
